2024;Восход;Зенит;Долгота дня;;Начало астрономических сумерек;Начало навигационных сумерек;Начало гражданских сумерек;Конец гражданских сумерек;Конец навигационных сумерек;Конец астрономических сумерек
26.01;06:16;11:59;17:42;11:26:39;+0:33;05:01;05:27;05:53;18:05;18:31;18:56
27.01;06:15;11:59;17:43;11:27:13;+0:34;05:01;05:27;05:53;18:05;18:31;18:57
28.01;06:15;11:59;17:43;11:27:49;+0:36;05:01;05:27;05:53;18:06;18:32;18:57
29.01;06:15;12:00;17:44;11:28:24;+0:35;05:01;05:27;05:53;18:06;18:32;18:58
30.01;06:15;12:00;17:44;11:29:00;+0:36;05:01;05:27;05:53;18:07;18:32;18:58
31.01;06:15;12:00;17:45;11:29:37;+0:37;05:01;05:27;05:53;18:07;18:33;18:58
01.02;06:15;12:00;17:45;11:30:15;+0:38;05:01;05:27;05:53;18:07;18:33;18:59
02.02;06:15;12:00;17:46;11:30:53;+0:38;05:01;05:27;05:52;18:08;18:34;18:59
03.02;06:15;12:00;17:46;11:31:31;+0:38;05:01;05:27;05:52;18:08;18:34;19:00
04.02;06:14;12:00;17:47;11:32:10;+0:39;05:01;05:26;05:52;18:09;18:34;19:00
05.02;06:14;12:01;17:47;11:32:50;+0:40;05:01;05:26;05:52;18:09;18:35;19:00
06.02;06:14;12:01;17:47;11:33:29;+0:39;05:01;05:26;05:52;18:10;18:35;19:01
07.02;06:14;12:01;17:48;11:34:11;+0:42;05:01;05:26;05:52;18:10;18:35;19:01
08.02;06:13;12:01;17:48;11:34:51;+0:40;05:00;05:26;05:51;18:10;18:36;19:01
09.02;06:13;12:01;17:49;11:35:33;+0:42;05:00;05:26;05:51;18:11;18:36;19:01
10.02;06:13;12:01;17:49;11:36:15;+0:42;05:00;05:25;05:51;18:11;18:36;19:02
11.02;06:12;12:01;17:49;11:36:58;+0:43;05:00;05:25;05:50;18:11;18:37;19:02
12.02;06:12;12:01;17:50;11:37:40;+0:42;05:00;05:25;05:50;18:12;18:37;19:02
13.02;06:12;12:01;17:50;11:38:24;+0:44;04:59;05:24;05:50;18:12;18:37;19:03
14.02;06:11;12:01;17:50;11:39:07;+0:43;04:59;05:24;05:49;18:12;18:38;19:03
15.02;06:11;12:01;17:51;11:39:51;+0:44;04:59;05:24;05:49;18:13;18:38;19:03
16.02;06:11;12:01;17:51;11:40:35;+0:44;04:58;05:23;05:49;18:13;18:38;19:03
17.02;06:10;12:01;17:51;11:41:19;+0:44;04:58;05:23;05:48;18:13;18:39;19:04
18.02;06:10;12:01;17:52;11:42:05;+0:46;04:58;05:23;05:48;18:14;18:39;19:04
19.02;06:09;12:01;17:52;11:42:50;+0:45;04:57;05:22;05:48;18:14;18:39;19:04
20.02;06:09;12:01;17:52;11:43:36;+0:46;04:57;05:22;05:47;18:14;18:39;19:04
21.02;06:08;12:00;17:53;11:44:21;+0:45;04:57;05:22;05:47;18:14;18:39;19:04
22.02;06:08;12:00;17:53;11:45:07;+0:46;04:56;05:21;05:46;18:15;18:40;19:05
23.02;06:07;12:00;17:53;11:45:53;+0:46;04:56;05:21;05:46;18:15;18:40;19:05
24.02;06:07;12:00;17:53;11:46:40;+0:47;04:55;05:20;05:45;18:15;18:40;19:05
25.02;06:06;12:00;17:54;11:47:26;+0:46;04:55;05:20;05:45;18:15;18:40;19:05
26.02;06:06;12:00;17:54;11:48:13;+0:47;04:54;05:19;05:44;18:16;18:41;19:05
27.02;06:05;12:00;17:54;11:49:01;+0:48;04:54;05:19;05:44;18:16;18:41;19:06
28.02;06:05;11:59;17:54;11:49:48;+0:47;04:53;05:18;05:43;18:16;18:41;19:06
01.03;06:04;11:59;17:55;11:50:35;+0:47;04:53;05:18;05:42;18:16;18:41;19:06
02.03;06:03;11:59;17:55;11:51:22;+0:47;04:52;05:17;05:42;18:16;18:41;19:06
03.03;06:03;11:59;17:55;11:52:11;+0:49;04:52;05:16;05:41;18:16;18:41;19:06
04.03;06:02;11:59;17:55;11:52:59;+0:48;04:51;05:16;05:41;18:17;18:42;19:06
05.03;06:02;11:58;17:55;11:53:47;+0:48;04:50;05:15;05:40;18:17;18:42;19:06
06.03;06:01;11:58;17:56;11:54:35;+0:48;04:50;05:15;05:39;18:17;18:42;19:07
07.03;06:00;11:58;17:56;11:55:24;+0:49;04:49;05:14;05:39;18:17;18:42;19:07
08.03;06:00;11:58;17:56;11:56:12;+0:48;04:49;05:13;05:38;18:17;18:42;19:07
09.03;05:59;11:57;17:56;11:57:00;+0:48;04:48;05:13;05:38;18:17;18:42;19:07
10.03;05:58;11:57;17:56;11:57:49;+0:49;04:47;05:12;05:37;18:18;18:42;19:07
11.03;05:58;11:57;17:56;11:58:37;+0:48;04:47;05:11;05:36;18:18;18:42;19:07
12.03;05:57;11:57;17:56;11:59:26;+0:49;04:46;05:11;05:36;18:18;18:43;19:07
13.03;05:56;11:56;17:57;12:00:15;+0:49;04:45;05:10;05:35;18:18;18:43;19:07
14.03;05:56;11:56;17:57;12:01:04;+0:49;04:45;05:09;05:34;18:18;18:43;19:08
15.03;05:55;11:56;17:57;12:01:53;+0:49;04:44;05:09;05:34;18:18;18:43;19:08
16.03;05:54;11:56;17:57;12:02:42;+0:49;04:43;05:08;05:33;18:18;18:43;19:08
17.03;05:53;11:55;17:57;12:03:31;+0:49;04:43;05:07;05:32;18:18;18:43;19:08
18.03;05:53;11:55;17:57;12:04:20;+0:49;04:42;05:07;05:31;18:18;18:43;19:08
19.03;05:52;11:55;17:57;12:05:10;+0:50;04:41;05:06;05:31;18:19;18:43;19:08
20.03;05:51;11:54;17:57;12:05:59;+0:49;04:40;05:05;05:30;18:19;18:43;19:08
21.03;05:51;11:54;17:57;12:06:48;+0:49;04:40;05:04;05:29;18:19;18:44;19:08
22.03;05:50;11:54;17:58;12:07:37;+0:49;04:39;05:04;05:29;18:19;18:44;19:09
23.03;05:49;11:53;17:58;12:08:25;+0:48;04:38;05:03;05:28;18:19;18:44;19:09
24.03;05:48;11:53;17:58;12:09:15;+0:50;04:37;05:02;05:27;18:19;18:44;19:09
25.03;05:48;11:53;17:58;12:10:04;+0:49;04:37;05:01;05:26;18:19;18:44;19:09
26.03;05:47;11:52;17:58;12:10:53;+0:49;04:36;05:01;05:26;18:19;18:44;19:09
27.03;05:46;11:52;17:58;12:11:42;+0:49;04:35;05:00;05:25;18:19;18:44;19:09
28.03;05:46;11:52;17:58;12:12:31;+0:49;04:34;04:59;05:24;18:19;18:44;19:09
29.03;05:45;11:51;17:58;12:13:20;+0:49;04:34;04:59;05:23;18:20;18:44;19:09
30.03;05:44;11:51;17:58;12:14:08;+0:48;04:33;04:58;05:23;18:20;18:45;19:10
31.03;05:43;11:51;17:58;12:14:57;+0:49;04:32;04:57;05:22;18:20;18:45;19:10
01.04;05:43;11:51;17:58;12:15:46;+0:49;04:31;04:56;05:21;18:20;18:45;19:10
02.04;05:42;11:50;17:59;12:16:34;+0:48;04:30;04:56;05:20;18:20;18:45;19:10
03.04;05:41;11:50;17:59;12:17:22;+0:48;04:30;04:55;05:20;18:20;18:45;19:10
04.04;05:41;11:50;17:59;12:18:11;+0:49;04:29;04:54;05:19;18:20;18:45;19:10
05.04;05:40;11:49;17:59;12:18:59;+0:48;04:28;04:53;05:18;18:20;18:45;19:11
06.04;05:39;11:49;17:59;12:19:47;+0:48;04:27;04:53;05:18;18:20;18:46;19:11
07.04;05:38;11:49;17:59;12:20:35;+0:48;04:27;04:52;05:17;18:21;18:46;19:11
08.04;05:38;11:48;17:59;12:21:23;+0:48;04:26;04:51;05:16;18:21;18:46;19:11
09.04;05:37;11:48;17:59;12:22:11;+0:48;04:25;04:50;05:16;18:21;18:46;19:11
10.04;05:36;11:48;17:59;12:22:58;+0:47;04:24;04:50;05:15;18:21;18:46;19:12
11.04;05:36;11:48;18:00;12:23:45;+0:47;04:23;04:49;05:14;18:21;18:46;19:12
12.04;05:35;11:47;18:00;12:24:32;+0:47;04:23;04:48;05:13;18:21;18:47;19:12
13.04;05:34;11:47;18:00;12:25:19;+0:47;04:22;04:47;05:13;18:21;18:47;19:12
14.04;05:34;11:47;18:00;12:26:06;+0:47;04:21;04:47;05:12;18:22;18:47;19:13
15.04;05:33;11:47;18:00;12:26:52;+0:46;04:20;04:46;05:11;18:22;18:47;19:13
16.04;05:33;11:46;18:00;12:27:39;+0:47;04:20;04:45;05:11;18:22;18:47;19:13
17.04;05:32;11:46;18:00;12:28:25;+0:46;04:19;04:45;05:10;18:22;18:48;19:13
18.04;05:31;11:46;18:00;12:29:10;+0:45;04:18;04:44;05:09;18:22;18:48;19:14
19.04;05:31;11:46;18:01;12:29:56;+0:46;04:18;04:43;05:09;18:23;18:48;19:14
20.04;05:30;11:45;18:01;12:30:42;+0:46;04:17;04:43;05:08;18:23;18:48;19:14
21.04;05:30;11:45;18:01;12:31:26;+0:44;04:16;04:42;05:08;18:23;18:49;19:14
22.04;05:29;11:45;18:01;12:32:12;+0:46;04:15;04:41;05:07;18:23;18:49;19:15
23.04;05:28;11:45;18:01;12:32:55;+0:43;04:15;04:41;05:06;18:23;18:49;19:15
24.04;05:28;11:45;18:02;12:33:40;+0:45;04:14;04:40;05:06;18:24;18:49;19:15
25.04;05:27;11:45;18:02;12:34:23;+0:43;04:13;04:39;05:05;18:24;18:50;19:16
26.04;05:27;11:44;18:02;12:35:07;+0:44;04:13;04:39;05:05;18:24;18:50;19:16
27.04;05:26;11:44;18:02;12:35:50;+0:43;04:12;04:38;05:04;18:24;18:50;19:16
28.04;05:26;11:44;18:02;12:36:32;+0:42;04:11;04:38;05:04;18:25;18:50;19:17
29.04;05:25;11:44;18:03;12:37:15;+0:43;04:11;04:37;05:03;18:25;18:51;19:17
30.04;05:25;11:44;18:03;12:37:57;+0:42;04:10;04:37;05:03;18:25;18:51;19:17
01.05;05:24;11:44;18:03;12:38:38;+0:41;04:10;04:36;05:02;18:25;18:51;19:18
02.05;05:24;11:44;18:03;12:39:20;+0:42;04:09;04:36;05:02;18:26;18:52;19:18
03.05;05:23;11:43;18:03;12:40:01;+0:41;04:08;04:35;05:01;18:26;18:52;19:19
04.05;05:23;11:43;18:04;12:40:41;+0:40;04:08;04:34;05:01;18:26;18:52;19:19
05.05;05:23;11:43;18:04;12:41:21;+0:40;04:07;04:34;05:00;18:26;18:53;19:19
06.05;05:22;11:43;18:04;12:42:00;+0:39;04:07;04:33;05:00;18:27;18:53;19:20
07.05;05:22;11:43;18:05;12:42:39;+0:39;04:06;04:33;04:59;18:27;18:53;19:20
08.05;05:21;11:43;18:05;12:43:17;+0:38;04:06;04:33;04:59;18:27;18:54;19:21
09.05;05:21;11:43;18:05;12:43:54;+0:37;04:05;04:32;04:59;18:28;18:54;19:21
10.05;05:21;11:43;18:05;12:44:32;+0:38;04:05;04:32;04:58;18:28;18:54;19:21
11.05;05:20;11:43;18:06;12:45:09;+0:37;04:04;04:31;04:58;18:28;18:55;19:22
12.05;05:20;11:43;18:06;12:45:45;+0:36;04:04;04:31;04:57;18:29;18:55;19:22
13.05;05:20;11:43;18:06;12:46:20;+0:35;04:03;04:30;04:57;18:29;18:56;19:23
14.05;05:20;11:43;18:06;12:46:55;+0:35;04:03;04:30;04:57;18:29;18:56;19:23
15.05;05:19;11:43;18:07;12:47:30;+0:35;04:03;04:30;04:57;18:30;18:56;19:24
16.05;05:19;11:43;18:07;12:48:03;+0:33;04:02;04:29;04:56;18:30;18:57;19:24
17.05;05:19;11:43;18:07;12:48:36;+0:33;04:02;04:29;04:56;18:30;18:57;19:24
18.05;05:19;11:43;18:08;12:49:09;+0:33;04:01;04:29;04:56;18:31;18:57;19:25
19.05;05:18;11:43;18:08;12:49:41;+0:32;04:01;04:28;04:55;18:31;18:58;19:25
20.05;05:18;11:43;18:08;12:50:12;+0:31;04:01;04:28;04:55;18:31;18:58;19:26
21.05;05:18;11:43;18:09;12:50:42;+0:30;04:00;04:28;04:55;18:32;18:59;19:26
22.05;05:18;11:43;18:09;12:51:11;+0:29;04:00;04:28;04:55;18:32;18:59;19:27
23.05;05:18;11:43;18:09;12:51:40;+0:29;04:00;04:27;04:55;18:32;18:59;19:27
24.05;05:17;11:44;18:10;12:52:07;+0:27;03:59;04:27;04:54;18:33;19:00;19:28
25.05;05:17;11:44;18:10;12:52:35;+0:28;03:59;04:27;04:54;18:33;19:00;19:28
26.05;05:17;11:44;18:10;12:53:01;+0:26;03:59;04:27;04:54;18:33;19:01;19:28
27.05;05:17;11:44;18:11;12:53:26;+0:25;03:59;04:27;04:54;18:34;19:01;19:29
28.05;05:17;11:44;18:11;12:53:52;+0:26;03:59;04:26;04:54;18:34;19:01;19:29
29.05;05:17;11:44;18:11;12:54:15;+0:23;03:58;04:26;04:54;18:34;19:02;19:30
30.05;05:17;11:44;18:12;12:54:39;+0:24;03:58;04:26;04:54;18:35;19:02;19:30
31.05;05:17;11:44;18:12;12:55:01;+0:22;03:58;04:26;04:54;18:35;19:03;19:31
01.06;05:17;11:44;18:12;12:55:22;+0:21;03:58;04:26;04:53;18:36;19:03;19:31
02.06;05:17;11:45;18:12;12:55:42;+0:20;03:58;04:26;04:53;18:36;19:03;19:32
03.06;05:17;11:45;18:13;12:56:01;+0:19;03:58;04:26;04:53;18:36;19:04;19:32
04.06;05:17;11:45;18:13;12:56:20;+0:19;03:58;04:26;04:53;18:37;19:04;19:32
05.06;05:17;11:45;18:13;12:56:38;+0:18;03:58;04:26;04:53;18:37;19:04;19:33
06.06;05:17;11:45;18:14;12:56:54;+0:16;03:57;04:26;04:53;18:37;19:05;19:33
07.06;05:17;11:45;18:14;12:57:11;+0:17;03:57;04:26;04:53;18:38;19:05;19:34
08.06;05:17;11:46;18:14;12:57:25;+0:14;03:57;04:26;04:53;18:38;19:06;19:34
09.06;05:17;11:46;18:15;12:57:38;+0:13;03:57;04:26;04:53;18:38;19:06;19:34
10.06;05:17;11:46;18:15;12:57:51;+0:13;03:57;04:26;04:54;18:38;19:06;19:35
11.06;05:17;11:46;18:15;12:58:03;+0:12;03:57;04:26;04:54;18:39;19:07;19:35
12.06;05:17;11:46;18:16;12:58:14;+0:11;03:57;04:26;04:54;18:39;19:07;19:35
13.06;05:17;11:47;18:16;12:58:24;+0:10;03:58;04:26;04:54;18:39;19:07;19:36
14.06;05:18;11:47;18:16;12:58:33;+0:09;03:58;04:26;04:54;18:40;19:07;19:36
15.06;05:18;11:47;18:16;12:58:40;+0:07;03:58;04:26;04:54;18:40;19:08;19:36
16.06;05:18;11:47;18:17;12:58:47;+0:07;03:58;04:26;04:54;18:40;19:08;19:37
17.06;05:18;11:47;18:17;12:58:53;+0:06;03:58;04:26;04:54;18:40;19:08;19:37
18.06;05:18;11:48;18:17;12:58:57;+0:04;03:58;04:27;04:54;18:41;19:09;19:37
19.06;05:18;11:48;18:17;12:59:00;+0:03;03:58;04:27;04:55;18:41;19:09;19:37
20.06;05:18;11:48;18:18;12:59:02;+0:02;03:58;04:27;04:55;18:41;19:09;19:38
21.06;05:19;11:48;18:18;12:59:04;+0:02;03:59;04:27;04:55;18:41;19:09;19:38
22.06;05:19;11:48;18:18;12:59:05;+0:01;03:59;04:27;04:55;18:42;19:09;19:38
23.06;05:19;11:49;18:18;12:59:04;−0:01;03:59;04:28;04:55;18:42;19:10;19:38
24.06;05:19;11:49;18:18;12:59:02;−0:02;03:59;04:28;04:56;18:42;19:10;19:38
25.06;05:20;11:49;18:18;12:58:59;−0:03;03:59;04:28;04:56;18:42;19:10;19:39
26.06;05:20;11:49;18:19;12:58:55;−0:04;04:00;04:28;04:56;18:42;19:10;19:39
27.06;05:20;11:49;18:19;12:58:51;−0:04;04:00;04:29;04:56;18:42;19:10;19:39
28.06;05:20;11:50;18:19;12:58:45;−0:06;04:00;04:29;04:57;18:43;19:10;19:39
29.06;05:20;11:50;18:19;12:58:38;−0:07;04:01;04:29;04:57;18:43;19:11;19:39
30.06;05:21;11:50;18:19;12:58:30;−0:08;04:01;04:29;04:57;18:43;19:11;19:39
01.07;05:21;11:50;18:19;12:58:21;−0:09;04:01;04:30;04:57;18:43;19:11;19:39
02.07;05:21;11:50;18:19;12:58:11;−0:10;04:01;04:30;04:58;18:43;19:11;19:39
03.07;05:22;11:51;18:20;12:58:00;−0:11;04:02;04:30;04:58;18:43;19:11;19:39
04.07;05:22;11:51;18:20;12:57:47;−0:13;04:02;04:31;04:58;18:43;19:11;19:39
05.07;05:22;11:51;18:20;12:57:35;−0:12;04:02;04:31;04:59;18:43;19:11;19:39
06.07;05:22;11:51;18:20;12:57:21;−0:14;04:03;04:31;04:59;18:43;19:11;19:39
07.07;05:23;11:51;18:20;12:57:06;−0:15;04:03;04:32;04:59;18:43;19:11;19:39
08.07;05:23;11:51;18:20;12:56:50;−0:16;04:04;04:32;04:59;18:43;19:11;19:39
09.07;05:23;11:52;18:20;12:56:33;−0:17;04:04;04:32;05:00;18:43;19:11;19:39
10.07;05:24;11:52;18:20;12:56:15;−0:18;04:04;04:33;05:00;18:43;19:11;19:39
11.07;05:24;11:52;18:20;12:55:57;−0:18;04:05;04:33;05:00;18:43;19:11;19:39
12.07;05:24;11:52;18:20;12:55:37;−0:20;04:05;04:33;05:01;18:43;19:11;19:39
13.07;05:24;11:52;18:20;12:55:16;−0:21;04:06;04:34;05:01;18:43;19:10;19:39
14.07;05:25;11:52;18:20;12:54:55;−0:21;04:06;04:34;05:01;18:43;19:10;19:38
15.07;05:25;11:52;18:20;12:54:33;−0:22;04:06;04:34;05:02;18:43;19:10;19:38
16.07;05:25;11:52;18:19;12:54:10;−0:23;04:07;04:35;05:02;18:43;19:10;19:38
17.07;05:26;11:52;18:19;12:53:46;−0:24;04:07;04:35;05:02;18:43;19:10;19:38
18.07;05:26;11:53;18:19;12:53:21;−0:25;04:08;04:35;05:03;18:42;19:10;19:38
19.07;05:26;11:53;18:19;12:52:56;−0:25;04:08;04:36;05:03;18:42;19:10;19:37
20.07;05:26;11:53;18:19;12:52:29;−0:27;04:08;04:36;05:03;18:42;19:09;19:37
21.07;05:27;11:53;18:19;12:52:02;−0:27;04:09;04:37;05:04;18:42;19:09;19:37
22.07;05:27;11:53;18:19;12:51:34;−0:28;04:09;04:37;05:04;18:42;19:09;19:36
23.07;05:27;11:53;18:18;12:51:05;−0:29;04:10;04:37;05:04;18:41;19:09;19:36
24.07;05:28;11:53;18:18;12:50:36;−0:29;04:10;04:38;05:05;18:41;19:08;19:36
25.07;05:28;11:53;18:18;12:50:06;−0:30;04:10;04:38;05:05;18:41;19:08;19:35
26.07;05:28;11:53;18:18;12:49:35;−0:31;04:11;04:38;05:05;18:41;19:08;19:35
27.07;05:28;11:53;18:18;12:49:03;−0:32;04:11;04:39;05:06;18:40;19:07;19:35
28.07;05:29;11:53;18:17;12:48:31;−0:32;04:12;04:39;05:06;18:40;19:07;19:34
29.07;05:29;11:53;18:17;12:47:58;−0:33;04:12;04:39;05:06;18:40;19:07;19:34
30.07;05:29;11:53;18:17;12:47:25;−0:33;04:13;04:40;05:06;18:39;19:06;19:33
31.07;05:30;11:53;18:16;12:46:51;−0:34;04:13;04:40;05:07;18:39;19:06;19:33
01.08;05:30;11:53;18:16;12:46:17;−0:34;04:13;04:40;05:07;18:39;19:05;19:32
02.08;05:30;11:53;18:16;12:45:41;−0:36;04:14;04:41;05:07;18:38;19:05;19:32
03.08;05:30;11:53;18:15;12:45:05;−0:36;04:14;04:41;05:08;18:38;19:05;19:32
04.08;05:30;11:53;18:15;12:44:29;−0:36;04:14;04:41;05:08;18:38;19:04;19:31
05.08;05:31;11:53;18:15;12:43:52;−0:37;04:15;04:42;05:08;18:37;19:04;19:30
06.08;05:31;11:53;18:14;12:43:14;−0:38;04:15;04:42;05:08;18:37;19:03;19:30
07.08;05:31;11:52;18:14;12:42:36;−0:38;04:16;04:42;05:09;18:36;19:03;19:29
08.08;05:31;11:52;18:13;12:41:58;−0:38;04:16;04:43;05:09;18:36;19:02;19:29
09.08;05:32;11:52;18:13;12:41:19;−0:39;04:16;04:43;05:09;18:35;19:02;19:28
10.08;05:32;11:52;18:12;12:40:39;−0:40;04:17;04:43;05:09;18:35;19:01;19:28
11.08;05:32;11:52;18:12;12:40:00;−0:39;04:17;04:43;05:10;18:34;19:00;19:27
12.08;05:32;11:52;18:12;12:39:19;−0:41;04:17;04:44;05:10;18:34;19:00;19:26
13.08;05:32;11:52;18:11;12:38:39;−0:40;04:18;04:44;05:10;18:33;18:59;19:26
14.08;05:33;11:52;18:11;12:37:57;−0:42;04:18;04:44;05:10;18:33;18:59;19:25
15.08;05:33;11:51;18:10;12:37:16;−0:41;04:18;04:45;05:11;18:32;18:58;19:24
16.08;05:33;11:51;18:09;12:36:34;−0:42;04:19;04:45;05:11;18:32;18:58;19:24
17.08;05:33;11:51;18:09;12:35:53;−0:41;04:19;04:45;05:11;18:31;18:57;19:23
18.08;05:33;11:51;18:08;12:35:09;−0:44;04:19;04:45;05:11;18:30;18:56;19:22
19.08;05:33;11:51;18:08;12:34:27;−0:42;04:19;04:46;05:11;18:30;18:56;19:22
20.08;05:33;11:50;18:07;12:33:44;−0:43;04:20;04:46;05:11;18:29;18:55;19:21
21.08;05:34;11:50;18:07;12:33:00;−0:44;04:20;04:46;05:12;18:29;18:54;19:20
22.08;05:34;11:50;18:06;12:32:16;−0:44;04:20;04:46;05:12;18:28;18:54;19:20
23.08;05:34;11:50;18:05;12:31:32;−0:44;04:20;04:46;05:12;18:27;18:53;19:19
24.08;05:34;11:49;18:05;12:30:48;−0:44;04:21;04:47;05:12;18:27;18:52;19:18
25.08;05:34;11:49;18:04;12:30:03;−0:45;04:21;04:47;05:12;18:26;18:52;19:17
26.08;05:34;11:49;18:04;12:29:18;−0:45;04:21;04:47;05:12;18:25;18:51;19:17
27.08;05:34;11:49;18:03;12:28:33;−0:45;04:21;04:47;05:13;18:25;18:50;19:16
28.08;05:34;11:48;18:02;12:27:47;−0:46;04:22;04:47;05:13;18:24;18:49;19:15
29.08;05:34;11:48;18:02;12:27:02;−0:45;04:22;04:47;05:13;18:23;18:49;19:14
30.08;05:35;11:48;18:01;12:26:16;−0:46;04:22;04:47;05:13;18:23;18:48;19:13
31.08;05:35;11:47;18:00;12:25:30;−0:46;04:22;04:48;05:13;18:22;18:47;19:13
01.09;05:35;11:47;17:59;12:24:44;−0:46;04:22;04:48;05:13;18:21;18:46;19:12
02.09;05:35;11:47;17:59;12:23:58;−0:46;04:22;04:48;05:13;18:20;18:46;19:11
03.09;05:35;11:46;17:58;12:23:11;−0:47;04:23;04:48;05:13;18:20;18:45;19:10
04.09;05:35;11:46;17:57;12:22:24;−0:47;04:23;04:48;05:13;18:19;18:44;19:09
05.09;05:35;11:46;17:57;12:21:38;−0:46;04:23;04:48;05:13;18:18;18:43;19:09
06.09;05:35;11:45;17:56;12:20:50;−0:48;04:23;04:48;05:13;18:17;18:43;19:08
07.09;05:35;11:45;17:55;12:20:03;−0:47;04:23;04:48;05:14;18:17;18:42;19:07
08.09;05:35;11:45;17:54;12:19:16;−0:47;04:23;04:49;05:14;18:16;18:41;19:06
09.09;05:35;11:44;17:54;12:18:28;−0:48;04:23;04:49;05:14;18:15;18:40;19:05
10.09;05:35;11:44;17:53;12:17:40;−0:48;04:24;04:49;05:14;18:14;18:39;19:05
11.09;05:35;11:44;17:52;12:16:53;−0:47;04:24;04:49;05:14;18:14;18:39;19:04
12.09;05:35;11:43;17:51;12:16:05;−0:48;04:24;04:49;05:14;18:13;18:38;19:03
13.09;05:35;11:43;17:51;12:15:18;−0:47;04:24;04:49;05:14;18:12;18:37;19:02
14.09;05:35;11:43;17:50;12:14:30;−0:48;04:24;04:49;05:14;18:11;18:36;19:01
15.09;05:35;11:42;17:49;12:13:42;−0:48;04:24;04:49;05:14;18:11;18:35;19:00
16.09;05:35;11:42;17:48;12:12:54;−0:48;04:24;04:49;05:14;18:10;18:35;19:00
17.09;05:35;11:42;17:48;12:12:06;−0:48;04:24;04:49;05:14;18:09;18:34;18:59
18.09;05:35;11:41;17:47;12:11:17;−0:49;04:24;04:49;05:14;18:08;18:33;18:58
19.09;05:36;11:41;17:46;12:10:29;−0:48;04:24;04:49;05:14;18:07;18:32;18:57
20.09;05:36;11:40;17:45;12:09:41;−0:48;04:24;04:49;05:14;18:07;18:31;18:56
21.09;05:36;11:40;17:44;12:08:52;−0:49;04:25;04:49;05:14;18:06;18:31;18:56
22.09;05:36;11:40;17:44;12:08:04;−0:48;04:25;04:49;05:14;18:05;18:30;18:55
23.09;05:36;11:39;17:43;12:07:16;−0:48;04:25;04:49;05:14;18:04;18:29;18:54
24.09;05:36;11:39;17:42;12:06:27;−0:49;04:25;04:50;05:14;18:04;18:28;18:53
25.09;05:36;11:39;17:41;12:05:39;−0:48;04:25;04:50;05:14;18:03;18:28;18:52
26.09;05:36;11:38;17:41;12:04:50;−0:49;04:25;04:50;05:14;18:02;18:27;18:52
27.09;05:36;11:38;17:40;12:04:02;−0:48;04:25;04:50;05:14;18:01;18:26;18:51
28.09;05:36;11:37;17:39;12:03:13;−0:49;04:25;04:50;05:15;18:00;18:25;18:50
29.09;05:36;11:37;17:38;12:02:25;−0:48;04:25;04:50;05:15;18:00;18:25;18:49
30.09;05:36;11:37;17:38;12:01:37;−0:48;04:25;04:50;05:15;17:59;18:24;18:49
01.10;05:36;11:36;17:37;12:00:49;−0:48;04:25;04:50;05:15;17:58;18:23;18:48
02.10;05:36;11:36;17:36;12:00:01;−0:48;04:25;04:50;05:15;17:58;18:22;18:47
03.10;05:36;11:36;17:35;11:59:13;−0:48;04:25;04:50;05:15;17:57;18:22;18:46
04.10;05:36;11:35;17:35;11:58:24;−0:49;04:25;04:50;05:15;17:56;18:21;18:46
05.10;05:36;11:35;17:34;11:57:36;−0:48;04:25;04:50;05:15;17:55;18:20;18:45
06.10;05:36;11:35;17:33;11:56:48;−0:48;04:25;04:50;05:15;17:55;18:19;18:44
07.10;05:37;11:35;17:33;11:56:01;−0:47;04:25;04:50;05:15;17:54;18:19;18:44
08.10;05:37;11:34;17:32;11:55:14;−0:47;04:26;04:50;05:15;17:53;18:18;18:43
09.10;05:37;11:34;17:31;11:54:25;−0:49;04:26;04:50;05:15;17:53;18:17;18:42
10.10;05:37;11:34;17:30;11:53:38;−0:47;04:26;04:51;05:15;17:52;18:17;18:42
11.10;05:37;11:33;17:30;11:52:51;−0:47;04:26;04:51;05:15;17:51;18:16;18:41
12.10;05:37;11:33;17:29;11:52:03;−0:48;04:26;04:51;05:16;17:51;18:16;18:40
13.10;05:37;11:33;17:29;11:51:16;−0:47;04:26;04:51;05:16;17:50;18:15;18:40
14.10;05:37;11:33;17:28;11:50:29;−0:47;04:26;04:51;05:16;17:49;18:14;18:39
15.10;05:38;11:32;17:27;11:49:43;−0:46;04:26;04:51;05:16;17:49;18:14;18:39
16.10;05:38;11:32;17:27;11:48:56;−0:47;04:26;04:51;05:16;17:48;18:13;18:38
17.10;05:38;11:32;17:26;11:48:10;−0:46;04:26;04:51;05:16;17:48;18:13;18:38
18.10;05:38;11:32;17:25;11:47:23;−0:47;04:27;04:51;05:16;17:47;18:12;18:37
19.10;05:38;11:32;17:25;11:46:37;−0:46;04:27;04:52;05:17;17:47;18:12;18:36
20.10;05:38;11:31;17:24;11:45:52;−0:45;04:27;04:52;05:17;17:46;18:11;18:36
21.10;05:39;11:31;17:24;11:45:06;−0:46;04:27;04:52;05:17;17:45;18:11;18:35
22.10;05:39;11:31;17:23;11:44:20;−0:46;04:27;04:52;05:17;17:45;18:10;18:35
23.10;05:39;11:31;17:23;11:43:35;−0:45;04:27;04:52;05:17;17:44;18:10;18:35
24.10;05:39;11:31;17:22;11:42:50;−0:45;04:27;04:52;05:18;17:44;18:09;18:34
